期号,日期,百位,十位,个位,销售额
23302,2023-10-29,6,5,0,27838585
23303,2023-10-30,8,0,1,30394689
23304,2023-10-31,1,3,8,16517562
23305,2023-11-01,1,3,8,35859131
23306,2023-11-02,3,3,8,26694204
23307,2023-11-03,9,2,8,47456249
23308,2023-11-04,6,1,9,34022514
23309,2023-11-05,7,6,1,21194383
23310,2023-11-06,2,8,6,43869359
23311,2023-11-07,5,2,8,39730043
23312,2023-11-08,5,5,8,31787168
23313,2023-11-09,5,6,6,31706423
23314,2023-11-10,9,3,9,46616357
23315,2023-11-11,3,6,8,27051632
23316,2023-11-12,5,7,7,36648296
23317,2023-11-13,0,0,4,49980966
23318,2023-11-14,0,8,2,30256250
23319,2023-11-15,0,4,3,24416514
23320,2023-11-16,5,0,4,47155705
23321,2023-11-17,8,8,9,48360220
23322,2023-11-18,2,1,0,40894894
23323,2023-11-19,5,2,2,27783055
23324,2023-11-20,5,9,3,25635972
23325,2023-11-21,4,4,1,48284745
23326,2023-11-22,6,9,3,15180909
23327,2023-11-23,5,7,2,42767674
23328,2023-11-24,9,1,9,30159050
23329,2023-11-25,0,9,6,15266528
23330,2023-11-26,0,5,5,39145674
23331,2023-11-27,6,1,3,10767348
23332,2023-11-28,6,0,4,45190771
23333,2023-11-29,0,5,8,47910662
23334,2023-11-30,2,5,8,24817447
23335,2023-12-01,2,0,6,39904799
23336,2023-12-02,9,9,8,16045364
23337,2023-12-03,3,6,4,36462528
23338,2023-12-04,2,2,5,15539508
23339,2023-12-05,7,9,0,46785885
23340,2023-12-06,6,4,1,36744696
23341,2023-12-07,8,6,2,19051023
23342,2023-12-08,7,8,3,42739804
23343,2023-12-09,6,9,3,47659320
23344,2023-12-10,9,8,3,26261490
23345,2023-12-11,1,4,6,31703787
23346,2023-12-12,9,1,1,37755021
23347,2023-12-13,6,5,5,22783550
23348,2023-12-14,5,5,9,11624492
23349,2023-12-15,4,2,5,39676217
23350,2023-12-16,9,2,7,13011681
23351,2023-12-17,3,3,5,20468393
23352,2023-12-18,1,1,0,26310695
23353,2023-12-19,9,2,4,10921625
23354,2023-12-20,5,1,4,40203120
23355,2023-12-21,7,0,5,24026392
23356,2023-12-22,8,3,3,46669908
23357,2023-12-23,8,4,8,42415348
23358,2023-12-24,9,2,0,35273645
23359,2023-12-25,9,8,0,27143385
23360,2023-12-26,2,0,4,23468484
23361,2023-12-27,9,4,0,41202992
23362,2023-12-28,0,1,6,28207331
23363,2023-12-29,5,1,0,29629045
23364,2023-12-30,6,3,6,44127563
23365,2023-12-31,1,5,7,45672431
24001,2024-01-01,1,2,3,43598107
24002,2024-01-02,7,8,0,12667738
24003,2024-01-03,3,8,4,32385479
24004,2024-01-04,7,6,2,11232939
24005,2024-01-05,5,5,5,30288768
24006,2024-01-06,3,8,4,14161400
24007,2024-01-07,4,6,0,47241349
24008,2024-01-08,4,3,2,32936880
24009,2024-01-09,6,2,1,35649485
24010,2024-01-10,8,9,3,38006766
24011,2024-01-11,3,9,2,38619581
24012,2024-01-12,4,9,5,40143233
24013,2024-01-13,8,2,3,19299713
24014,2024-01-14,9,8,3,19268381
24015,2024-01-15,4,8,2,38861126
24016,2024-01-16,2,9,2,31306810
24017,2024-01-17,1,8,8,17944836
24018,2024-01-18,2,5,2,11978593
24019,2024-01-19,5,6,6,30357346
24020,2024-01-20,7,4,2,22612010
24021,2024-01-21,1,2,2,11758132
24022,2024-01-22,9,9,4,48053617
24023,2024-01-23,9,3,9,25581506
24024,2024-01-24,3,0,5,15333505
24025,2024-01-25,7,2,8,41458185
24026,2024-01-26,5,2,6,42980355
24027,2024-01-27,7,2,2,22969447
24028,2024-01-28,3,0,6,11007589
24029,2024-01-29,4,6,3,23611930
24030,2024-01-30,3,1,2,39479930
24031,2024-01-31,9,7,5,40705320
24032,2024-02-01,3,6,6,12806913
24033,2024-02-02,9,6,5,36451006
24034,2024-02-03,9,9,9,45981047
24035,2024-02-04,8,0,8,17336092
24036,2024-02-05,7,7,0,26490100
24037,2024-02-06,8,8,6,12634131
24038,2024-02-07,8,6,8,13308161
24039,2024-02-08,3,4,7,36712004
24040,2024-02-09,4,4,7,21172726
24041,2024-02-10,6,4,9,13660564
24042,2024-02-11,8,2,7,40312945
24043,2024-02-12,1,8,1,22064253
24044,2024-02-13,9,8,2,36378260
24045,2024-02-14,6,5,7,11671823
24046,2024-02-15,2,7,9,23551427
24047,2024-02-16,7,1,4,31748290
24048,2024-02-17,2,1,1,17661479
24049,2024-02-18,7,5,1,45152784
24050,2024-02-19,6,8,9,20730685
24051,2024-02-20,6,8,6,12946487
24052,2024-02-21,2,5,9,20072351
24053,2024-02-22,2,2,2,13443388
24054,2024-02-23,6,4,4,39947883
24055,2024-02-24,4,2,1,18829582
24056,2024-02-25,3,0,9,26985990
24057,2024-02-26,0,7,7,43463314
24058,2024-02-27,8,0,9,43115996
24059,2024-02-28,3,3,9,41924491
24060,2024-02-29,7,6,7,15328773
24061,2024-03-01,9,9,0,26422422
24062,2024-03-02,8,4,9,47416456
24063,2024-03-03,3,0,2,19949303
24064,2024-03-04,0,5,0,19755911
24065,2024-03-05,0,9,9,30028073
24066,2024-03-06,5,1,0,17307326
24067,2024-03-07,6,2,2,29084455
24068,2024-03-08,9,9,9,47727073
24069,2024-03-09,2,7,9,34171850
24070,2024-03-10,0,1,4,31664207
24071,2024-03-11,5,6,1,38677217
24072,2024-03-12,8,1,4,41595983
24073,2024-03-13,2,1,4,32092810
24074,2024-03-14,8,6,8,24082484
24075,2024-03-15,3,9,0,17335148
24076,2024-03-16,9,8,1,42458073
24077,2024-03-17,9,4,6,31239187
24078,2024-03-18,4,8,9,33746695
24079,2024-03-19,2,9,9,43312633
24080,2024-03-20,8,7,7,22073369
24081,2024-03-21,9,3,4,22989285
24082,2024-03-22,0,1,0,41197946
24083,2024-03-23,1,3,9,37825488
24084,2024-03-24,6,0,5,33464617
24085,2024-03-25,8,3,0,23501440
24086,2024-03-26,4,4,1,30654266
24087,2024-03-27,4,8,8,31738160
24088,2024-03-28,0,1,5,32908388
24089,2024-03-29,6,9,9,11954034
24090,2024-03-30,2,3,5,32678558
24091,2024-03-31,7,7,0,19110289
24092,2024-04-01,7,2,7,46035281
24093,2024-04-02,5,7,6,13759591
24094,2024-04-03,8,4,9,31173037
24095,2024-04-04,8,8,0,23976257
24096,2024-04-05,9,5,5,14443481
24097,2024-04-06,2,4,0,32760133
24098,2024-04-07,6,8,2,48317929
24099,2024-04-08,9,6,2,49942650
24100,2024-04-09,1,4,5,12122533
24101,2024-04-10,4,6,1,43356758
24102,2024-04-11,3,5,7,30309068
24103,2024-04-12,3,8,4,21744906
24104,2024-04-13,1,5,0,23562594
24105,2024-04-14,1,7,8,11673344
24106,2024-04-15,7,8,2,22764889
24107,2024-04-16,5,7,8,30827820
24108,2024-04-17,5,2,1,44638013
24109,2024-04-18,2,3,0,40827692
24110,2024-04-19,6,8,1,10275808
24111,2024-04-20,4,0,9,15843564
24112,2024-04-21,5,7,0,16919113
24113,2024-04-22,8,4,0,48759384
24114,2024-04-23,4,3,5,23459052
24115,2024-04-24,3,4,4,45720424
24116,2024-04-25,5,7,1,28297514
24117,2024-04-26,2,2,4,17681307
24118,2024-04-27,0,9,8,44498027
24119,2024-04-28,1,3,8,33509452
24120,2024-04-29,8,5,4,19499717
24121,2024-04-30,4,9,3,21494069
24122,2024-05-01,1,4,9,32732382
24123,2024-05-02,8,7,0,18729118
24124,2024-05-03,0,7,0,17108635
24125,2024-05-04,6,0,1,38619631
24126,2024-05-05,6,2,9,49779196
24127,2024-05-06,7,9,5,30967537
24128,2024-05-07,5,3,8,15271106
24129,2024-05-08,7,9,2,16235498
24130,2024-05-09,7,1,7,30830033
24131,2024-05-10,7,7,3,25018591
24132,2024-05-11,2,9,4,34390672
24133,2024-05-12,6,2,5,31794347
24134,2024-05-13,7,7,0,14386584
24135,2024-05-14,7,1,5,42121797
24136,2024-05-15,7,2,4,33395186
24137,2024-05-16,9,9,2,44087925
24138,2024-05-17,1,6,1,31868747
24139,2024-05-18,8,1,4,45751949
24140,2024-05-19,7,6,9,37745616
24141,2024-05-20,3,9,3,46772236
24142,2024-05-21,2,7,6,14433207
24143,2024-05-22,5,3,9,38933885
24144,2024-05-23,6,9,5,46542580
24145,2024-05-24,3,2,1,48533123
24146,2024-05-25,7,1,9,41065259
24147,2024-05-26,5,8,1,39877955
24148,2024-05-27,2,4,6,14671289
24149,2024-05-28,9,1,9,35428287
24150,2024-05-29,5,7,0,16075567
24151,2024-05-30,3,2,9,10012370
24152,2024-05-31,2,2,7,45651974
24153,2024-06-01,4,6,9,48784320
24154,2024-06-02,7,3,3,31246513
24155,2024-06-03,4,9,4,39174037
24156,2024-06-04,5,1,9,10544873
24157,2024-06-05,9,8,6,18560117
24158,2024-06-06,4,0,5,46835057
24159,2024-06-07,0,0,8,34108499
24160,2024-06-08,1,4,0,25786767
24161,2024-06-09,6,9,6,31349162
24162,2024-06-10,6,6,6,39205109
24163,2024-06-11,8,3,2,41868081
24164,2024-06-12,2,3,8,35809737
24165,2024-06-13,5,6,2,29358952
24166,2024-06-14,2,2,0,14814792
24167,2024-06-15,0,2,7,39308797
24168,2024-06-16,2,1,2,37907587
24169,2024-06-17,7,9,6,22065997
24170,2024-06-18,7,8,6,47047450
24171,2024-06-19,7,6,5,25149216
24172,2024-06-20,2,6,9,10498618
24173,2024-06-21,9,7,3,43670450
24174,2024-06-22,4,6,8,48678351
24175,2024-06-23,5,0,0,48127872
24176,2024-06-24,7,5,1,48941178
24177,2024-06-25,7,1,2,45326646
24178,2024-06-26,4,7,8,15250235
24179,2024-06-27,8,9,1,26457194
24180,2024-06-28,7,1,8,48898206
24181,2024-06-29,4,9,0,33054993
24182,2024-06-30,8,0,7,40469757
24183,2024-07-01,8,7,9,32247527
24184,2024-07-02,6,5,4,29408450
24185,2024-07-03,2,0,9,30405848
24186,2024-07-04,9,4,0,41753265
24187,2024-07-05,9,2,9,13464151
24188,2024-07-06,4,9,0,29247872
24189,2024-07-07,7,1,2,43929980
24190,2024-07-08,1,4,4,18894525
24191,2024-07-09,9,4,4,27244006
24192,2024-07-10,0,1,9,21718136
24193,2024-07-11,9,2,7,34814631
24194,2024-07-12,2,4,3,42542330
24195,2024-07-13,2,8,0,33008139
24196,2024-07-14,1,2,9,20344851
24197,2024-07-15,7,6,6,25968382
24198,2024-07-16,7,2,3,48772642
24199,2024-07-17,5,0,4,17784250
24200,2024-07-18,0,2,7,36759310
24201,2024-07-19,7,4,7,45736868
24202,2024-07-20,3,6,6,41849167
24203,2024-07-21,4,2,8,39174527
24204,2024-07-22,0,4,7,35635860
24205,2024-07-23,5,8,0,16534008
24206,2024-07-24,8,5,6,28293245
24207,2024-07-25,5,4,4,16595243
24208,2024-07-26,4,9,6,40944473
24209,2024-07-27,3,9,3,44893409
24210,2024-07-28,5,2,5,46749656
24211,2024-07-29,0,0,1,10802716
24212,2024-07-30,6,1,8,16973099
24213,2024-07-31,7,5,3,29011741
24214,2024-08-01,4,3,0,11590511
24215,2024-08-02,9,1,0,49871965
24216,2024-08-03,3,9,1,18051527
24217,2024-08-04,1,9,2,35230143
24218,2024-08-05,9,2,1,22365680
24219,2024-08-06,4,4,7,15081092
24220,2024-08-07,7,4,6,31703283
24221,2024-08-08,4,2,1,28608447
24222,2024-08-09,0,6,6,32324081
24223,2024-08-10,0,4,4,21940645
24224,2024-08-11,7,1,7,23466676
24225,2024-08-12,9,6,2,43021406
24226,2024-08-13,1,2,8,38940937
24227,2024-08-14,3,9,1,39634046
24228,2024-08-15,4,1,0,14893545
24229,2024-08-16,1,9,4,39922638
24230,2024-08-17,0,7,2,10058226
24231,2024-08-18,0,6,4,20174205
24232,2024-08-19,5,6,9,10248554
24233,2024-08-20,8,7,7,39263334
24234,2024-08-21,6,1,8,25156325
24235,2024-08-22,0,6,7,18133839
24236,2024-08-23,9,8,5,32376760
24237,2024-08-24,4,6,0,16084557
24238,2024-08-25,5,8,5,15399363
24239,2024-08-26,7,4,3,21852653
24240,2024-08-27,8,0,6,22818005
24241,2024-08-28,4,6,1,34109605
24242,2024-08-29,7,1,7,22714747
24243,2024-08-30,2,0,3,11702189
24244,2024-08-31,9,3,7,36089747
24245,2024-09-01,1,8,4,43533235
24246,2024-09-02,8,7,0,12485892
24247,2024-09-03,5,0,5,12873234
24248,2024-09-04,6,1,3,45105964
24249,2024-09-05,7,8,2,48879232
24250,2024-09-06,3,1,0,19501975
24251,2024-09-07,7,0,7,13073699
24252,2024-09-08,3,2,0,21559435
24253,2024-09-09,0,4,1,40614029
24254,2024-09-10,9,2,9,14292122
24255,2024-09-11,1,1,7,49928257
24256,2024-09-12,9,3,1,23599016
24257,2024-09-13,6,5,6,31759038
24258,2024-09-14,1,9,8,19216020
24259,2024-09-15,5,3,0,49801277
24260,2024-09-16,2,5,1,18103092
24261,2024-09-17,4,2,6,21277701
24262,2024-09-18,5,8,2,39438055
24263,2024-09-19,3,9,0,18950368
24264,2024-09-20,1,9,6,20586669
24265,2024-09-21,0,7,1,10426113
24266,2024-09-22,0,2,1,49844580
24267,2024-09-23,4,6,7,18515606
24268,2024-09-24,3,2,4,45103765
24269,2024-09-25,7,6,3,21713780
24270,2024-09-26,9,0,9,22079626
24271,2024-09-27,7,9,1,30213174
24272,2024-09-28,5,6,0,47427311
24273,2024-09-29,3,3,1,45581053
24274,2024-09-30,1,9,5,46220185
24275,2024-10-01,8,3,7,23965938
24276,2024-10-02,4,0,3,17561767
24277,2024-10-03,2,7,7,21832891
24278,2024-10-04,2,0,0,34440583
24279,2024-10-05,4,3,6,26869945
24280,2024-10-06,5,9,7,12906987
24281,2024-10-07,1,0,8,21803617
24282,2024-10-08,2,0,7,44554603
24283,2024-10-09,1,1,3,39851424
24284,2024-10-10,9,9,5,38123061
24285,2024-10-11,3,5,3,17390891
24286,2024-10-12,5,3,1,25912743
24287,2024-10-13,6,3,6,24808427
24288,2024-10-14,1,7,9,42508051
24289,2024-10-15,0,6,2,24506598
24290,2024-10-16,9,7,2,35993296
24291,2024-10-17,5,2,7,23029516
24292,2024-10-18,5,4,3,32541286
24293,2024-10-19,2,0,9,14003159
24294,2024-10-20,4,2,1,41241477
24295,2024-10-21,7,6,2,33056995
24296,2024-10-22,3,4,9,20521872
24297,2024-10-23,9,2,9,47094802
24298,2024-10-24,3,1,6,45015310
24299,2024-10-25,7,3,9,41775308
24300,2024-10-26,7,4,0,38730000
24301,2024-10-27,3,3,5,39141938
24302,2024-10-28,9,3,9,19997187
24303,2024-10-29,9,0,6,12967835
24304,2024-10-30,0,7,8,12256237
24305,2024-10-31,6,8,6,42163220
24306,2024-11-01,1,7,7,26140453
24307,2024-11-02,1,8,0,37287677
24308,2024-11-03,3,2,5,29850159
24309,2024-11-04,3,1,0,42197688
24310,2024-11-05,4,2,7,48277607
24311,2024-11-06,9,0,7,41122449
24312,2024-11-07,2,6,2,34858496
24313,2024-11-08,7,0,1,35828810
24314,2024-11-09,5,8,0,29903816
24315,2024-11-10,6,4,9,46402203
24316,2024-11-11,9,3,1,32528088
24317,2024-11-12,0,8,5,13460306
24318,2024-11-13,1,6,5,41229302
24319,2024-11-14,9,0,5,34590902
24320,2024-11-15,2,8,1,47631846
24321,2024-11-16,3,2,5,26014369
24322,2024-11-17,8,1,7,48931152
24323,2024-11-18,3,3,5,33670079
24324,2024-11-19,4,8,6,28598908
24325,2024-11-20,0,1,5,33167763
24326,2024-11-21,7,7,8,45345070
24327,2024-11-22,1,7,8,45759324
24328,2024-11-23,4,7,9,34705849
24329,2024-11-24,1,3,7,15859191
24330,2024-11-25,1,6,2,29352363
24331,2024-11-26,1,1,2,28518203
24332,2024-11-27,1,2,7,20099754
24333,2024-11-28,3,8,0,29674268
24334,2024-11-29,6,8,2,41803220
24335,2024-11-30,5,6,7,11441652
24336,2024-12-01,4,3,1,11478852
24337,2024-12-02,3,8,5,37628164
24338,2024-12-03,9,5,5,42624866
24339,2024-12-04,9,8,8,39880644
24340,2024-12-05,7,4,9,18855299
24341,2024-12-06,4,2,4,25219078
24342,2024-12-07,7,5,4,13175520
24343,2024-12-08,2,5,4,40596711
24344,2024-12-09,2,9,2,45924494
24345,2024-12-10,4,2,2,20300190
24346,2024-12-11,2,3,1,12761627
24347,2024-12-12,5,9,2,39587535
24348,2024-12-13,4,5,2,23767743
24349,2024-12-14,8,0,5,33075182
24350,2024-12-15,2,5,7,46229833
24351,2024-12-16,2,8,4,18153057
24352,2024-12-17,0,6,7,19756547
24353,2024-12-18,7,5,2,10288185
24354,2024-12-19,8,8,5,29834485
24355,2024-12-20,7,4,9,19870604
24356,2024-12-21,9,7,5,17537373
24357,2024-12-22,7,0,2,46974299
24358,2024-12-23,1,4,0,36952927
24359,2024-12-24,9,3,7,33984275
24360,2024-12-25,1,5,0,23096277
24361,2024-12-26,9,8,3,28651376
24362,2024-12-27,3,0,1,46132237
24363,2024-12-28,7,1,8,36469320
24364,2024-12-29,3,7,5,44329931
24365,2024-12-30,0,5,6,19928483
24366,2024-12-31,6,5,6,35020275
25001,2025-01-01,0,4,5,33579037
25002,2025-01-02,4,7,8,15878644
25003,2025-01-03,3,7,6,39695965
25004,2025-01-04,4,2,6,37796074
25005,2025-01-05,2,9,9,15776595
25006,2025-01-06,2,3,4,41850747
25007,2025-01-07,8,5,1,49639789
25008,2025-01-08,6,1,0,37478438
25009,2025-01-09,4,6,2,47300035
25010,2025-01-10,7,9,2,23371948
25011,2025-01-11,2,6,4,47169380
25012,2025-01-12,7,0,4,49272661
25013,2025-01-13,4,7,8,41101726
25014,2025-01-14,3,0,0,20336373
25015,2025-01-15,4,4,7,18333372
25016,2025-01-16,4,6,2,43009944
25017,2025-01-17,3,0,1,28603720
25018,2025-01-18,7,1,9,34277269
25019,2025-01-19,9,7,9,39264062
25020,2025-01-20,4,7,1,35045176
25021,2025-01-21,8,9,0,27417245
25022,2025-01-22,2,9,0,19807096
25023,2025-01-23,5,7,2,33983732
25024,2025-01-24,2,0,4,34237268
25025,2025-01-25,6,5,0,29451920
25026,2025-01-26,4,8,1,44484996
25027,2025-01-27,3,2,1,21216301
25028,2025-01-28,8,5,5,30204620
25029,2025-01-29,4,5,1,45864340
25030,2025-01-30,9,5,2,10865547
25031,2025-01-31,2,8,4,35032558
25032,2025-02-01,7,6,5,20940700
25033,2025-02-02,1,3,2,43781454
25034,2025-02-03,3,3,8,45275963
25035,2025-02-04,8,8,1,38007633
25036,2025-02-05,7,1,1,18806840
25037,2025-02-06,0,7,5,30909341
25038,2025-02-07,5,2,7,45106063
25039,2025-02-08,5,2,4,11930019
25040,2025-02-09,1,3,2,19553573
25041,2025-02-10,3,4,2,24082191
25042,2025-02-11,2,1,6,17497549
25043,2025-02-12,1,0,7,38940528
25044,2025-02-13,0,3,1,12200681
25045,2025-02-14,8,9,0,41479583
25046,2025-02-15,1,4,0,14445785
25047,2025-02-16,4,0,1,18307644
25048,2025-02-17,9,3,9,23423412
25049,2025-02-18,2,5,0,16092096
25050,2025-02-19,2,4,9,33342915
25051,2025-02-20,5,2,8,26228434
25052,2025-02-21,8,9,1,16650869
25053,2025-02-22,9,0,8,24562494
25054,2025-02-23,3,4,2,46045948
25055,2025-02-24,0,1,3,43835971
25056,2025-02-25,7,5,9,22423580
25057,2025-02-26,7,1,2,33811724
25058,2025-02-27,6,6,3,44510800
25059,2025-02-28,3,6,1,31090992
25060,2025-03-01,1,7,1,44878327
25061,2025-03-02,2,7,5,29345556
25062,2025-03-03,8,0,1,32019452
25063,2025-03-04,7,1,6,29032841
25064,2025-03-05,7,9,4,39793374
25065,2025-03-06,3,8,6,29501119
25066,2025-03-07,6,3,1,41922129
25067,2025-03-08,5,2,0,42993963
25068,2025-03-09,1,6,7,45075278
25069,2025-03-10,1,1,2,36495348
25070,2025-03-11,6,9,1,21322823
25071,2025-03-12,1,5,3,32725185
25072,2025-03-13,3,9,6,18238429
25073,2025-03-14,3,6,7,28691048
25074,2025-03-15,9,9,4,36859351
25075,2025-03-16,5,7,9,37141750
25076,2025-03-17,7,8,4,19890108
25077,2025-03-18,7,1,1,26823511
25078,2025-03-19,7,7,3,19033415
25079,2025-03-20,0,1,0,14578748
25080,2025-03-21,7,0,2,35678064
25081,2025-03-22,9,5,2,30317383
25082,2025-03-23,9,9,1,15134986
25083,2025-03-24,8,7,7,23551410
25084,2025-03-25,4,7,7,43876202
25085,2025-03-26,4,8,5,46274286
25086,2025-03-27,8,0,0,38884084
25087,2025-03-28,1,6,7,31109710
25088,2025-03-29,6,7,7,12414652
25089,2025-03-30,0,2,8,30336976
25090,2025-03-31,2,7,6,19025353
25091,2025-04-01,4,6,7,17340501
25092,2025-04-02,9,7,8,46198010
25093,2025-04-03,9,7,7,47732321
25094,2025-04-04,2,8,0,36265390
25095,2025-04-05,4,7,9,35353574
25096,2025-04-06,9,5,4,31507235
25097,2025-04-07,0,0,9,13027848
25098,2025-04-08,2,5,5,49189360
25099,2025-04-09,0,5,6,16533051
25100,2025-04-10,6,5,5,37644127
25101,2025-04-11,5,0,3,26617089
25102,2025-04-12,3,4,9,15700343
25103,2025-04-13,1,4,1,32655567
25104,2025-04-14,2,0,8,31885330
25105,2025-04-15,0,7,6,48121150
25106,2025-04-16,8,6,4,11369173
25107,2025-04-17,7,9,0,31240917
25108,2025-04-18,6,9,6,31637331
25109,2025-04-19,9,1,7,16714690
25110,2025-04-20,3,5,7,43740224
25111,2025-04-21,5,2,9,30100507
25112,2025-04-22,5,6,3,43349864
25113,2025-04-23,1,8,3,29284105
25114,2025-04-24,4,0,4,48488322
25115,2025-04-25,6,3,9,16171185
25116,2025-04-26,9,1,9,32604819
25117,2025-04-27,4,1,9,45639078
25118,2025-04-28,7,6,3,33308014
25119,2025-04-29,1,4,8,30126553
25120,2025-04-30,6,8,5,23426939
25121,2025-05-01,6,6,4,44585843
25122,2025-05-02,7,8,2,11248447
25123,2025-05-03,8,2,9,43500988
25124,2025-05-04,3,7,4,45750189
25125,2025-05-05,9,6,9,14018590
25126,2025-05-06,8,3,5,41036956
25127,2025-05-07,2,3,2,30151159
25128,2025-05-08,6,6,5,14323658
25129,2025-05-09,3,6,4,29263236
25130,2025-05-10,2,4,9,25846404
25131,2025-05-11,6,3,1,20063796
25132,2025-05-12,3,0,3,30840024
25133,2025-05-13,7,7,8,39268384
25134,2025-05-14,6,0,3,20694367
25135,2025-05-15,4,2,0,27340718
25136,2025-05-16,4,8,2,12834166
25137,2025-05-17,7,0,0,15632416
25138,2025-05-18,5,9,4,14266895
25139,2025-05-19,6,5,1,36635175
25140,2025-05-20,2,3,1,48317374
25141,2025-05-21,8,1,8,48951309
25142,2025-05-22,8,4,7,16056493
25143,2025-05-23,3,9,1,31032611
25144,2025-05-24,5,9,6,25833536
25145,2025-05-25,6,3,2,17168167
25146,2025-05-26,2,3,4,39492695
25147,2025-05-27,6,4,9,13753090
25148,2025-05-28,7,8,5,17580707
25149,2025-05-29,5,8,6,41866920
25150,2025-05-30,3,4,2,34360384
25151,2025-05-31,7,5,4,11414266
25152,2025-06-01,9,0,0,26084372
25153,2025-06-02,4,8,6,30754657
25154,2025-06-03,5,1,8,25863320
25155,2025-06-04,7,6,0,36372143
25156,2025-06-05,4,4,1,25801483
25157,2025-06-06,4,3,2,39450446
25158,2025-06-07,5,6,0,28390279
25159,2025-06-08,1,7,7,37713364
25160,2025-06-09,5,6,1,20760459
25161,2025-06-10,4,8,1,33612679
25162,2025-06-11,6,9,8,31929052
25163,2025-06-12,7,0,0,22330557
25164,2025-06-13,7,2,0,36887961
25165,2025-06-14,3,4,5,48641911
25166,2025-06-15,1,1,2,26750611
25167,2025-06-16,8,2,9,37535854
25168,2025-06-17,5,7,7,18959691
25169,2025-06-18,4,2,9,31983550
25170,2025-06-19,4,3,1,37816384
25171,2025-06-20,5,2,6,35321518
25172,2025-06-21,9,3,0,11541496
25173,2025-06-22,8,9,3,15971116
25174,2025-06-23,7,3,4,21325020
25175,2025-06-24,0,6,9,38783217
25176,2025-06-25,9,4,2,15976800
25177,2025-06-26,5,2,9,17875260
25178,2025-06-27,0,8,6,40447819
25179,2025-06-28,7,1,3,23632854
25180,2025-06-29,3,4,4,43163063
25181,2025-06-30,6,2,6,23865090
25182,2025-07-01,9,3,4,22707947
25183,2025-07-02,6,2,6,19794059
25184,2025-07-03,0,4,4,25803172
25185,2025-07-04,9,7,3,34805968
25186,2025-07-05,9,7,1,10692579
25187,2025-07-06,7,2,5,36679445
25188,2025-07-07,3,6,6,27195008
25189,2025-07-08,1,1,8,13942801
25190,2025-07-09,0,5,3,41603739
25191,2025-07-10,5,9,9,13054250
25192,2025-07-11,0,4,8,35564294
25193,2025-07-12,4,6,5,18874358
25194,2025-07-13,8,0,9,22037466
25195,2025-07-14,4,2,8,43073920
25196,2025-07-15,5,7,2,16016174
25197,2025-07-16,5,8,6,19515750
25198,2025-07-17,4,1,5,12963672
25199,2025-07-18,2,7,4,34198933
25200,2025-07-19,6,4,4,27700495
25201,2025-07-20,8,5,6,21071876
25202,2025-07-21,5,7,2,47290698
25203,2025-07-22,7,0,3,19973773
25204,2025-07-23,0,3,2,12406674
25205,2025-07-24,7,4,2,41348754
25206,2025-07-25,6,1,7,12737485
25207,2025-07-26,7,5,8,42561188
25208,2025-07-27,7,7,1,19935716
25209,2025-07-28,1,5,1,23672337
25210,2025-07-29,4,2,2,44140813
25211,2025-07-30,4,9,9,24253664
25212,2025-07-31,9,0,8,48304921
25213,2025-08-01,2,6,1,26519345
25214,2025-08-02,7,1,5,11742291
25215,2025-08-03,4,1,6,35069073
25216,2025-08-04,9,1,5,20319697
25217,2025-08-05,0,1,7,42202530
25218,2025-08-06,7,4,9,10389591
25219,2025-08-07,5,0,9,40407160
25220,2025-08-08,5,9,2,24184589
25221,2025-08-09,0,4,5,13726892
25222,2025-08-10,1,8,9,35594712
25223,2025-08-11,1,6,4,21946102
25224,2025-08-12,3,6,1,11376539
25225,2025-08-13,3,2,6,37004354
25226,2025-08-14,4,2,1,30035127
25227,2025-08-15,7,6,4,18810499
25228,2025-08-16,5,1,5,44403575
25229,2025-08-17,3,7,7,36044247
25230,2025-08-18,7,4,9,38391786
25231,2025-08-19,1,6,5,22506128
25232,2025-08-20,6,6,1,12713754
25233,2025-08-21,8,5,7,25047834
25234,2025-08-22,2,7,8,45210530
25235,2025-08-23,1,4,7,39350432
25236,2025-08-24,1,7,4,19972815
25237,2025-08-25,2,4,3,45104113
25238,2025-08-26,6,4,9,13202990
25239,2025-08-27,8,1,0,44454665
25240,2025-08-28,1,8,6,37717263
25241,2025-08-29,1,7,9,27004066
25242,2025-08-30,5,4,9,15487462
25243,2025-08-31,8,0,1,41063280
25244,2025-09-01,2,2,6,13037261
25245,2025-09-02,1,6,4,31068583
25246,2025-09-03,9,7,7,27788841
25247,2025-09-04,5,2,3,22421004
25248,2025-09-05,1,9,4,17135729
25249,2025-09-06,6,8,0,10392390
25250,2025-09-07,6,1,0,21524964
25251,2025-09-08,7,7,6,42663393
25252,2025-09-09,4,9,9,34208098
25253,2025-09-10,6,4,1,18394613
25254,2025-09-11,2,0,3,17510320
25255,2025-09-12,0,3,0,24041152
25256,2025-09-13,7,2,3,39245269
25257,2025-09-14,8,3,1,30194256
25258,2025-09-15,7,2,7,38311835
25259,2025-09-16,0,1,2,20228883
25260,2025-09-17,7,7,7,11317197
25261,2025-09-18,7,9,3,23511592
25262,2025-09-19,4,9,6,13417329
25263,2025-09-20,5,0,1,38976798
25264,2025-09-21,6,7,9,49986115
25265,2025-09-22,8,4,0,42715337
25266,2025-09-23,6,7,8,49663974
25267,2025-09-24,9,7,3,14073822
25268,2025-09-25,8,0,6,48681774
25269,2025-09-26,5,8,1,27975033
